DKTID,Seed,Hemisphere,Seed_prob,lobe
42,lateralorbitofrontal,left,0.0,frontal
43,parsorbitalis,left,0.0,frontal
44,frontalpole,left,0.0,frontal
45,medialorbitofrontal,left,0.0,frontal
46,parstriangularis,left,0.0,frontal
47,parsopercularis,left,0.0,frontal
48,rostralmiddlefrontal,left,0.0,frontal
49,superiorfrontal,left,0.0,frontal
50,caudalmiddlefrontal,left,0.0,frontal
51,precentral,left,0.0,frontal
52,paracentral,left,0.0,frontal
53,rostralanteriorcingulate,left,0.0,cingulate
54,caudalanteriorcingulate,left,0.0,cingulate
55,posteriorcingulate,left,0.0,cingulate
57,postcentral,left,0.0,parietal
58,supramarginal,left,0.0,parietal
59,superiorparietal,left,0.0,parietal
62,cuneus,left,0.0,occiptal
63,pericalcarine,left,0.0,occiptal
64,lateraloccipital,left,0.0,occiptal
65,lingual,left,0.0,occiptal
68,entorhinal,left,0.0,temporal
69,temporalpole,left,0.0,temporal
71,middletemporal,left,0.0,temporal
72,bankssts,left,0.0,temporal
73,superiortemporal,left,0.0,temporal
74,transversetemporal,left,0.0,temporal
75,insula,left,0.0,cingulate
81,Left-Hippocampus,left,0.0,temporal
82,Left-Amygdala,left,0.0009970089730807576,temporal
56,isthmuscingulate,left,0.011964107676969093,cingulate
60,inferiorparietal,left,0.03090727816550349,parietal
61,precuneus,left,0.04386839481555334,parietal
66,fusiform,left,0.0518444666001994,temporal
67,parahippocampal,left,0.36390827517447655,temporal
70,inferiortemporal,left,0.4965104685942173,temporal
